[2022-04-28 02:04:51,136] [89] 127.0.0.1 requested http://localhost/dashboard INFO in __init__: Request
[2022-04-28 02:04:51,374] [89] 127.0.0.1 requested http://localhost/login INFO in __init__: Request
[2022-04-28 02:04:51,611] [89] 127.0.0.1 requested http://localhost/register INFO in __init__: Request
[2022-04-28 02:04:51,946] [89] 127.0.0.1 requested http://localhost/login INFO in __init__: Request
[2022-04-28 02:04:52,026] [89] 127.0.0.1 requested http://localhost/dashboard INFO in __init__: Request
[2022-04-28 02:04:52,079] [89] 127.0.0.1 requested http://localhost/songs INFO in __init__: Request
[2022-04-28 02:04:52,217] [89] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:04:52,460] [89] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:04:52,679] [89] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:04:52,907] [89] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:04:53,108] [89] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:04:53,342] [89] 127.0.0.1 requested http://localhost/about INFO in __init__: Request
[2022-04-28 02:04:53,580] [89] 127.0.0.1 requested http://localhost/welcome INFO in __init__: Request
[2022-04-28 02:04:53,794] [89] 127.0.0.1 requested http://localhost/page5 INFO in __init__: Request
[2022-04-28 02:04:54,003] [89] 127.0.0.1 requested http://localhost/login INFO in __init__: Request
[2022-04-28 02:08:23,754] [107] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:08:23,975] [107] 127.0.0.1 requested http://localhost/dashboard INFO in __init__: Request
[2022-04-28 02:08:24,218] [107] 127.0.0.1 requested http://localhost/register INFO in __init__: Request
[2022-04-28 02:08:24,620] [107] 127.0.0.1 requested http://localhost/register INFO in __init__: Request
[2022-04-28 02:08:24,966] [107] 127.0.0.1 requested http://localhost/login INFO in __init__: Request
[2022-04-28 02:08:25,039] [107] 127.0.0.1 requested http://localhost/dashboard INFO in __init__: Request
[2022-04-28 02:08:25,094] [107] 127.0.0.1 requested http://localhost/songs INFO in __init__: Request
[2022-04-28 02:08:25,227] [107] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:08:25,446] [107] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:08:25,652] [107] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:08:25,887] [107] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:08:26,108] [107] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:08:26,340] [107] 127.0.0.1 requested http://localhost/about INFO in __init__: Request
[2022-04-28 02:08:26,573] [107] 127.0.0.1 requested http://localhost/welcome INFO in __init__: Request
[2022-04-28 02:08:26,815] [107] 127.0.0.1 requested http://localhost/page5 INFO in __init__: Request
[2022-04-28 02:08:27,024] [107] 127.0.0.1 requested http://localhost/login INFO in __init__: Request
[2022-04-28 02:10:02,284] [121] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:10:02,493] [121] 127.0.0.1 requested http://localhost/dashboard INFO in __init__: Request
[2022-04-28 02:10:02,732] [121] 127.0.0.1 requested http://localhost/register INFO in __init__: Request
[2022-04-28 02:10:02,919] [121] 127.0.0.1 requested http://localhost/login INFO in __init__: Request
[2022-04-28 02:10:03,151] [121] 127.0.0.1 requested http://localhost/login INFO in __init__: Request
[2022-04-28 02:10:03,254] [121] 127.0.0.1 requested http://localhost/dashboard INFO in __init__: Request
[2022-04-28 02:10:03,311] [121] 127.0.0.1 requested http://localhost/songs INFO in __init__: Request
[2022-04-28 02:10:03,445] [121] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:10:03,655] [121] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:10:03,874] [121] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:10:04,075] [121] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:10:04,313] [121] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:10:04,556] [121] 127.0.0.1 requested http://localhost/about INFO in __init__: Request
[2022-04-28 02:10:04,777] [121] 127.0.0.1 requested http://localhost/welcome INFO in __init__: Request
[2022-04-28 02:10:04,977] [121] 127.0.0.1 requested http://localhost/page5 INFO in __init__: Request
[2022-04-28 02:10:05,171] [121] 127.0.0.1 requested http://localhost/login INFO in __init__: Request
[2022-04-28 02:10:46,475] [127] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:10:46,674] [127] 127.0.0.1 requested http://localhost/dashboard INFO in __init__: Request
[2022-04-28 02:10:46,922] [127] 127.0.0.1 requested http://localhost/register INFO in __init__: Request
[2022-04-28 02:10:47,094] [127] 127.0.0.1 requested http://localhost/register INFO in __init__: Request
[2022-04-28 02:10:47,419] [127] 127.0.0.1 requested http://localhost/login INFO in __init__: Request
[2022-04-28 02:10:47,641] [127] 127.0.0.1 requested http://localhost/dashboard INFO in __init__: Request
[2022-04-28 02:10:47,702] [127] 127.0.0.1 requested http://localhost/songs INFO in __init__: Request
[2022-04-28 02:10:47,839] [127] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:10:48,071] [127] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:10:48,275] [127] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:10:48,500] [127] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:10:48,720] [127] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:10:48,946] [127] 127.0.0.1 requested http://localhost/about INFO in __init__: Request
